player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_loss,safety_md,awards
StewKo00,Kordell Stewart,QB,1997,25,PIT,NFL,QB,2,2,0,0,0,0,0,0,1,0,0,0,0.0,0,,0,
StewKo00,Kordell Stewart,QB,,,,,,,,,,,,,,,,,,,,,,
StewKo00,Kordell Stewart,QB,2001,29,PIT,NFL,QB,2,2,0,0,0,0,0,0,2,1,-3,0,0.0,0,0,0,
