player_id,player_name,position,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,xpm,xpa,fgm,fga,safety_md,scoring,points_per_g,awards
GrogSt00,Steve Grogan,QB,1975,22,NWE,NFL,QB,13,7,3,0,0,0,0,0,0,3,0,0,0,0,0,18,1.4,
GrogSt00,Steve Grogan,QB,1976,23,NWE,NFL,QB,14,14,12,0,0,0,1,0,0,13,0,0,0,0,0,78,5.6,
GrogSt00,Steve Grogan,QB,1977,24,NWE,NFL,QB,14,14,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0.4,
GrogSt00,Steve Grogan,QB,1978,25,NWE,NFL,QB,16,16,5,0,0,0,0,0,0,5,0,0,0,0,0,30,1.9,
GrogSt00,Steve Grogan,QB,1979,26,NWE,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,0,0,0,0,12,0.8,
GrogSt00,Steve Grogan,QB,1980,27,NWE,NFL,QB,12,12,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0.5,
GrogSt00,Steve Grogan,QB,1981,28,NWE,NFL,QB,8,7,2,0,0,0,0,0,0,2,0,0,0,0,0,12,1.5,
GrogSt00,Steve Grogan,QB,1982,29,NWE,NFL,QB,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1.0,
GrogSt00,Steve Grogan,QB,1983,30,NWE,NFL,QB,12,12,2,0,0,0,0,0,0,2,0,0,0,0,0,12,1.0,
GrogSt00,Steve Grogan,QB,,,,,,,,,,,,,,,,,,,,,,,
GrogSt00,Steve Grogan,QB,1985,32,NWE,NFL,QB,7,6,2,0,0,0,0,0,0,2,0,0,0,0,0,12,1.7,
GrogSt00,Steve Grogan,QB,1986,33,NWE,NFL,QB,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1.5,
GrogSt00,Steve Grogan,QB,1987,34,NWE,NFL,QB,7,6,2,0,0,0,0,0,0,2,0,0,0,0,0,12,1.7,
GrogSt00,Steve Grogan,QB,1988,35,NWE,NFL,QB,6,4,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1.0,
